Timestamp,Event_Type,Value
2026-08-18 18:16:10,Session_Started,0.00
2026-08-18 18:16:14,Drowsiness Detected (SVM),0.19
2026-08-18 18:16:29,Yawn Detected,0.65
2026-08-18 18:16:48,Looking Down Detected (SVM),61536.03
2026-08-18 18:17:20,Phone Distraction,14.00
2026-08-18 18:17:28,Yawn Detected,0.19
2026-08-18 18:19:14,Session_Started,0.00
2026-08-18 18:25:27,Session_Started,0.00
2026-08-18 18:25:41,Yawn Detected,0.09
2026-08-18 18:26:29,Yawn Detected,0.14
2026-08-18 18:26:35,Yawn Detected,0.23
2026-08-18 18:31:52,Session_Started,0.00
2026-08-18 18:33:10,Yawn Detected,0.10
2026-08-18 18:37:02,Session_Started,0.00
2026-08-18 18:37:23,Yawn Detected,0.03
2026-08-18 18:38:04,Yawn Detected,0.10
2026-08-18 18:54:40,Session_Started,0.00
2026-08-18 18:54:43,Drowsiness Detected (SVM),0.30
2026-08-18 18:54:57,Drowsiness Detected (SVM),0.30
2026-08-18 18:55:14,Drowsiness Detected (SVM),0.27
2026-08-18 18:55:19,Drowsiness Detected (SVM),0.31
2026-08-18 18:55:26,Drowsiness Detected (SVM),0.30
2026-08-18 18:55:35,Looking Down Detected (SVM),58596.02
2026-08-18 18:55:45,Drowsiness Detected (SVM),0.25
2026-08-18 18:55:53,Yawn Detected,0.26
2026-08-18 18:56:06,Looking Down Detected (SVM),56353.41
2026-08-18 18:57:10,Looking Down Detected (SVM),61248.40
2026-08-18 18:57:20,Looking Down Detected (SVM),62346.43
2026-08-18 18:57:35,Looking Down Detected (SVM),63191.38
2026-08-18 18:57:59,Looking Down Detected (SVM),63690.66
2026-08-18 18:58:52,Drowsiness Detected (SVM),0.29
2026-08-18 19:03:02,Session_Started,0.00
2026-08-18 19:03:17,Drowsiness Detected (SVM),0.22
2026-08-18 19:03:37,Drowsiness Detected (SVM),0.09
2026-08-18 19:03:51,Drowsiness Detected (SVM),0.25
2026-08-18 19:04:03,Drowsiness Detected (SVM),0.26
2026-08-18 19:04:25,Phone Distraction,27.86
2026-08-18 19:04:26,Drowsiness Detected (SVM),0.24
2026-08-18 19:04:43,Yawn Detected,0.17
2026-08-18 19:04:48,Drowsiness Detected (SVM),0.30
2026-08-18 19:04:56,Yawn Detected,0.26
2026-08-18 19:05:16,Drowsiness Detected (SVM),0.28
2026-08-18 19:05:25,Drowsiness Detected (SVM),0.26
2026-08-18 19:06:00,Drowsiness Detected (SVM),0.30
2026-08-18 19:08:12,Session_Started,0.00
2026-08-18 19:18:28,Session_Started,0.00
2026-08-18 19:18:32,Looking Down Detected (SVM),-62864.43
2026-08-18 19:19:56,Looking Down Detected (SVM),-63336.28
2026-08-18 22:19:42,Session_Started,0.00
2026-08-18 22:19:47,Drowsiness Detected (SVM),0.23
2026-08-18 22:19:52,Looking Down Detected (SVM),-63198.90
2026-08-18 22:19:57,Drowsiness Detected (SVM),0.26
2026-08-18 22:20:09,Looking Down Detected (SVM),-63448.51
2026-08-18 22:20:16,Drowsiness Detected (SVM),0.08
2026-08-18 22:20:22,Looking Down Detected (SVM),-63930.97
2026-08-18 22:21:48,Session_Started,0.00
2026-08-18 22:29:27,Session_Started,0.00
2026-08-18 22:29:39,Drowsiness Detected (SVM),0.07
2026-08-18 22:29:48,Drowsiness Detected (SVM),0.08
2026-08-18 22:29:57,Looking Down Detected (SVM),-63142.09
2026-08-18 22:30:11,Drowsiness Detected (SVM),0.22
2026-08-18 22:30:21,Looking Down Detected (SVM),-64551.82
2026-08-18 22:30:56,Yawn Detected,0.09
2026-08-18 22:31:05,Phone Distraction,49.04
2026-08-18 22:31:22,Drowsiness Detected (SVM),0.19
2026-08-18 22:31:22,Yawn Detected,0.68
2026-08-18 22:31:30,Drowsiness Detected (SVM),0.20
2026-08-18 22:31:31,Yawn Detected,0.15
2026-08-18 22:31:52,Yawn Detected,0.29
2026-08-18 22:32:22,Yawn Detected,0.15
2026-08-18 22:32:31,Drowsiness Detected (SVM),0.15
2026-08-18 22:32:32,Yawn Detected,0.17
2026-08-18 22:32:36,Drowsiness Detected (SVM),0.31
2026-08-18 22:32:46,Drowsiness Detected (SVM),0.31
2026-08-18 22:33:08,Drowsiness Detected (SVM),0.24
2026-08-18 22:33:28,Looking Down Detected (SVM),-64292.29
2026-08-18 22:33:40,Yawn Detected,0.02
2026-08-18 22:33:44,Phone Distraction,24.19
2026-08-18 22:33:53,Drowsiness Detected (SVM),0.23
2026-08-18 22:34:01,Drowsiness Detected (SVM),0.26
